keyword,ecmax
quantum optics,142134314.49000007
edge computing,141955002.87
regional aircraft,141757796.51
animal husbandry,141620594.1
mobility solutions,141219766.48
market opportunities,141219766.48
eit urban mobility business plan 2023-2025,141219766.48
eitum-bp23-25,141219766.48
european institute of innovation and technology (eit),141219766.48
liveable urban spaces,141219766.48
close to market,140760106.12
innovative smes,140760106.12
innovativesmes,140760106.12
collaborative research,140760106.12
sme funding,140760106.12
european partnership on innovative smes,140760106.12
global partnership,140760106.12
transnational collaboration,140760106.12
certification,140127362.32999998
energy storage,139660664.04
federated learning,139581874.7
transplantation,138947801.76000002
humanities,138376501.30000004
climate,138019246.30999997
carbon capture engineering,136988131.0
heat engineering,136748245.92000002
research infrastructure,136007515.18
linguistics,135182172.42000008
psychology,134727307.01
demonstration,133886881.89000002
bioreactors,132489818.75999996
euratom2027,131666430.50999999
adaptation,131485603.64999999
fair data,131367087.75
electrochemistry,130159928.16
alzheimer,130073122.67999996
co-design,129971883.13
environment,129933074.59000002
mass spectrometry,129769708.60999991
software development,129175054.27000001
decarbonisation,128753950.52999999
autonomous robots,128122923.52999999
storage,126723492.49999999
arts,126718636.79999997
agroecology,126646673.55000001
clinical trials,126390700.56
precision medicine,126149776.50999999
digitalization,124883191.59
silviculture,123871357.56
knowledge engineering,123568226.9
molecular biology,123531417.65999995
deep tech,123482888.08
carbohydrates,123169296.43000002
toxicology,122411441.0
packaging,121517659.13
philosophy,121157272.63000001
fair,121131131.63
food systems,121057102.8
entomology,121019890.91999997
sea vessels,121017814.36999999
fibre optics,120955327.41999999
cardiology,120885641.98999998
cognitive neuroscience,120341800.10999997
biomolecules,119991235.5299999
eitm bp 2023-2025,119780232.74
eit manufacturing business plan 2023-2025,119780232.74
colors,119588896.55999996
life cycle assessment,119010448.82
explainable ai,118897148.07999998
antivirals,118853077.68999997
one health,118338096.71
reuse,118220729.14999999
particle physics,118196987.03999996
transition,118192107.14999999
ethics,117545701.43
recyclability,116477957.75000001
ccam,116456843.78
radio frequency,116425663.09
mycology,115606193.50999993
data mining,115573052.03999998
tissue engineering,115012606.93999992
nanomedicine,114408872.29999995
integration,114129132.14999999
health economics,113002495.72
pathophysiology,112652861.89
standardisation,112342351.57
remanufacturing,112244968.35
cities mission,112232428.45
risk assessment,111709340.49999999
climate resilience,111566873.00999999
mammalogy,111261228.27999996
optoelectronics,110901482.86999996
public administration,110779143.00000003
obstetrics,110462441.23999998
ceramics,110300356.11000001
dementia,109692534.14000002
hydrocarbons,109128970.86999996
eosc,108858392.46000001
learning,108744622.54999998
thermodynamics,108430241.57999994
diagnostics,108426915.34
combined heat and power,108279041.63
electric power generation,107716009.03
climate change mitigation,107709282.24999999
electromagnetism,107347963.91
communication,107293072.57999998
reinforcement learning,107213090.25999999
hepatology,106713275.13999997
alkaline earth metals,106270573.63999999
magnetic resonance imaging,106069147.35999992
operating systems,105783690.8
black holes,105510474.04999995
fruit growing,104474243.72999996
transnational,104236870.38
services,103795793.65
drainage basins,103533304.14
thermal management,102849159.94
phycology,102650534.64999999
propulsion system,102643367.02000001
semiconductors,102211102.05
prediction,101868666.29999998
fuels,101724078.81
industry 4.0,101307572.97
malaria,101192374.13
data networks,100691302.11
ep permed,100575465.38
european partnership for personalised medicine,100575465.38
networks,100196721.37
ofelia,100000000.0
open fan demonstrator frugality performance propulsion system high savings credible path eis 2035,100000000.0
open fan for environmental low impact of aviation,100000000.0
biogeochemistry,99360310.39000002
propulsion,98881014.32
organoids,98482618.02999999
data sharing,98297632.81
cultural heritage,98239503.93999998
sustainable transport,98210106.14
batteries,98184446.21000001
mitigation,97946770.55999999
super resolution microscopy,97804626.68999995
ccus,97509470.21000001
epilepsy,97507922.64999998
bioinformatics,97101784.59
standardization,96531366.49000001
two-dimensional nanostructures,96467910.75999998
privacy,96297949.74000001
autonomy,96281966.38
disruptive,96181273.66
gender,96108865.84000002
quality of life,95432704.42999999
mobility,95413103.69
renewables,95332545.58999999
offshore,95066933.36999999
volatile organic compounds,94696054.14999999
ocean engineering,94359003.82
gender equality,94329428.39999996
diagnostic imaging,94277828.78999999
waste treatment processes,94256334.96000002
nucleic acids,93255621.9
sustainable aviation fuels,93129889.24000001
digital humanities,92980625.99999997
biophysics,92627588.68000002
policy dialogue,92324516.98
leukemia,92323613.29999994
investment planning,92230626.0
spacecraft,91880579.55999999
priority setting,91574573.0
people-centre health and care,91574573.0
research and innovation funding,91574573.0
good practice transferability,91574573.0
capacity building for health and care stakeholders,91574573.0
european partnership on transforming health and care systems,91574573.0
thcs,91574573.0
partnership,91467808.32
photocatalysis,91340528.67999993
impact,91129337.39999999
extended reality,91097315.64999999
fluid dynamics,90990496.36999997
environmental sciences,90654939.14
rheumatology,90574318.27
optimization,90329180.22999999
augmented reality,90177226.78999999
data spaces,90085017.44
ophthalmology,90011814.0
gravitational waves,89809762.27999997
amines,89801570.59999996
particle accelerator,89491344.74999999
spintronics,89421733.68
geothermal energy,89151904.23000002
acoustics,89088417.44
organ on a chip,88775301.83999999
semiconductor,88491454.19
validation,88431841.85
traceability,88208535.18
higher education institutions,88071590.61999999
digital transformation,87978029.02000001
public services,87820461.29000002
quantum technologies,87761700.63
secure,87454645.12
exposome,87417700.91999999
space,87381170.01999998
industrial symbiosis,87333830.12
organic acids,87250902.55999996
large scale eu r&i demonstrators,87239477.45
climate city contracts,87239477.45
sga-nzc,87239477.45
specific grant agreement n°1 to scale the cities mission platform,87239477.45
access control,86917400.5
multi-actor approach,86830867.49
scalability,86554333.6
security,86493774.36
freight transport,86211413.79
marketplace,86196513.25
nanophotonics,86152200.39999999
covid-19,86072212.13
industry,85904216.11000001
ml,85594354.55
metallurgy,85306900.17999999
electric power transmission,85243586.12
demand response,85093254.51
nuclear engineering,84744747.21
vaccine,84608352.88
high performance computing,84527593.34999998
seismology,84526383.43
transformation,84482367.77000001
soil,83939542.96999998
citizen engagement,83742444.4
dark matter,83735835.63999994
numerical analysis,83570984.47000003
nature-based solutions,83526861.86
anthropology,83318807.58999999
ecosystem,83257520.25
modular,83237646.24
digital tools,83134254.89
development,83112469.23999998
plasma physics,82959216.36
medicinal chemistry,82943246.22999994
history of literature,82469950.14000002
developmental biology,81906609.18999995
battery,81898659.0
psychiatry,81643433.41999999
neurology,81531867.84999998
computer and information sciences,81280898.47999999
dairy,81243612.33
invertebrate zoology,81047286.65999997
biocatalysis,80986318.32000001
critical care medicine,80863248.83
translational research,80786623.85000001
wellbeing,80776190.71999998
soft matter physics,80683010.93
chromosomes,80622180.02999997
neutrinos,80542577.75999999
efps,80495455.31
ground test,80495455.31
h2 engine,80495455.31
h2 propulsion system,80495455.31
non-drop-in fuels,80495455.31
zero-co2 flight,80495455.31
low-emission aircraft,80495455.31
hydea,80495455.31
hydrogen demonstrator for aviation,80495455.31
clean propulsion system,80495455.31
energy systems,80470968.05
oceanography,80431243.67999999
smart,80258536.7
technology,80076726.33
hei initiative,79853967.07
innovation action plan,79853967.07
hei initiative - innovation capacity building for higher education,79853967.07
ergonomics,79852619.47
fertility,79684947.16999997
akis,78791410.18
vegetable growing,78755493.19
biocomposites,78651341.69
grains and oilseeds,78508311.58999996
clinical development,78486709.0
chemical process engineering,78323865.8
electric power train,78185877.16
telecommunications,77902709.11
cognitive psychology,77894103.37999997
solar thermal,77743389.15999998
hiv,77626530.61
influenza,77575619.89999999
reusability,77494025.05
decision support,77042355.47
embryology,77015047.47999996
parkinson,76864473.20999998
urban studies,76716902.62999997
liver cancer,76344516.97999999
multiple sclerosis,76240978.86999999
climate adaptation,76115115.75999999
vascular diseases,76046253.3
astrophysics,76045429.80999999
prostate cancer,75870176.60000001
metabolomics,75800507.76
multi-actor,75745124.5
tuberculosis,75682358.24
transnational access,75668829.28999999
inflammatory bowel disease,75499626.41999999
2d materials,75447441.63999997
data sovereignty,75410884.06
anatomy and morphology,75408972.73999998
pancreatic cancer,75389670.62
open-source,75318536.61
climatology,75309664.88
drug resistance,75272031.01
earth observation,75218264.35
standards,75013561.13999999
sovereignty,74947726.23
no keywords,74890577.03
high voltage,74808806.0
metrology,74371455.67
modern history,74214100.38999997
cinematography,73559170.10999998
perception,73557201.97
food packaging,73555064.31
eco-design,73461641.03999999
switch,73331022.0
aviation,73091383.89
soil health,72588266.25
organic chemistry,72554315.81999996
botany,72475357.67999998
glaciology,72406012.6
lasers,72071683.88
co2,72058260.27
air quality,71998702.13
health technology assessment,71986569.15
regulatory compliance,71906150.42
testing,71811315.14
power systems,71693138.4
veterinary sciences,71669236.83
quantum chemistry,71608117.53999998
equipment,70808008.69
genetic engineering,70785714.54999998
scalable,70700821.5
atmps,70657421.36
network,70450278.53000002
photovoltaics,70273931.05
agri-food,70157589.39999999
journalism,70154336.57
early detection,70038363.48
cetp,70000000.0
heating & cooling,70000000.0
integrated regional energy systems,70000000.0
clean energy transition partnership,70000000.0
building integration,70000000.0
industrial energy systems,70000000.0
lmics,70000000.0
late-stage clinical development of chikungunya vaccines in endemic countries (chikv) and  controlled human infection models for sars-cov2 and other beta coronaviruses (chim).,70000000.0
chikvax_chim,70000000.0
controlled human infection models,70000000.0
chikungunya,70000000.0
chim,70000000.0
multi-domain networking,70000000.0
research networking,70000000.0
life cycle analysis,69715013.92
reliability,69462602.78999999
energy transition,69433751.18
taxation,69382646.4
antimicrobial resistance,69345726.66
situational awareness,69236195.95
community,69153822.69000001
hydrogen production,68926815.75999999
social issues,68864545.92999999
imaging,68838282.49999999
woodworking,68777991.66
industrialization,68597456.22
logistics,68490732.3
multi-omics,68386471.75999999
bim,68211580.14
legumes,68175707.75
euratom.1.1.4,68151690.82
plant breeding,67890190.82000001
primatology,67658082.81
open innovation,67646621.83000001
transport planning,67591482.06
children,67452583.49
process,67418858.31
safe,67366236.95
electrocatalysis,67123828.03999998
biotechnology,67093374.88
migration,67010841.21000001
upscaling,66909004.19
edge,66902141.46
sociology,66853071.35000001
law enforcement,66807343.42999999
secondary raw materials,66762615.94
food technology,66694441.989999995
mathematics,66556963.80000001
cloud,66543868.68
digital product passport,66518728.40999999
polylactic acid,66400627.760000005
coal,66256076.03999999
separation technologies,66191302.160000004
heart failure,66003253.650000006
cereals,65848445.879999995
energy communities,65731887.980000004
data analytics,65159753.63
healthcare,65138395.75
system software,65136145.489999995
industry 5.0,65114000.88
surgical procedures,64984854.41
climatic zones,64893221.92
neutron stars,64729685.58
digital transition,64673464.03
synergies,64637281.62
survey,64488649.5
soft robotics,64064667.769999996
biosphera,64016608.580000006
noble gases,63942468.57
medical devices,63876490.03
exoplanetology,63867429.760000005
atomic physics,63859843.45000002
nanoelectronics,63545446.02
inflammation,63449466.60000001
bioremediation,63417652.650000006
climate change adaptation,63348439.06
photochemistry,63335862.110000014
automated,63197366.07
inclusion,63102644.8
farmer,62999998.05
hvdc,62893737.1
nonlinear optics,62843249.31
silicon photonics,62809245.24
supply chain,62781844.150000006
grid forming,62717078.1
open source,62454424.8
ethnoarchaeology,62304503.62000001
wearables,62078425.81999999
pyrolysis,62032617.92
hydrogen storage,61972504.86
3d printing,61946137.84
ammonia,61867175.73
media,61856147.99000001
partial differential equations,61816841.21
gas turbine,61785371.15
dynamical systems,61720868.79
active learning,61684002.76
era,61581586.25
therapy development,61443612.61
food security,61409854.07
platform,61377539.120000005
terrorism,61158603.46999999
cardiovascular disease,61069079.15
membranes,61052604.949999996
transparency,61048299.75000001
clinical trial,61016271.49
palliative care,60850684.75
hybrid-electric propulsion,60684440.86
desalination,60505578.36
interdisciplinary,60468718.83
quantum field theory,60458139.1
hera,60425943.480000004
real-time simulation,60059161.39
european partnership on accelerating farming systems transition – agroecology living labs and research infrastructures,60000000.0
political economy,59856319.05
social psychology,59839319.57
omics,59788199.8
science and technology studies,59761521.15
neuromorphic computing,59552978.50000001
valorisation,59507089.3
repair,59433464.89000001
cities,59324297.7
archaeology,59317445.61
materials,59275614.31
floating offshore wind,59133918.19
data space,59106765.010000005
living lab,59078382.96
water recovery,59071675.4
land-based treatment,58907076.03
hydroelectricity,58903785.55
flexible,58864833.45
alzheimer's disease,58857775.739999995
collision avoidance,58836361.129999995
biomarker,58794584.47
energy harvesting,58656256.57
computational fluid dynamics,58624712.14999999
hydrogen valley,58573735.13
sorting,58559407.15
power electronics,58495560.8
pem,58403664.989999995
metadata,58296017.699999996
diagnostic technologies,58265816.28
digital technologies,58240740.32
decision-making,58064707.769999996
crystals,57866491.49999999
mechatronics,57806476.690000005
intersectionality,57750049.50000001
guidelines,57711322.63
geology,57670503.54000001
construction,57545204.480000004
irrigation,57396605.97
geographic information systems,57390633.80000001
models,56988948.34
africa,56871747.550000004
radio astronomy,56867670.3
demonstrator,56786701.48
aquaculture,56783389.69
vulnerable groups,56687578.730000004
inflammatory diseases,56659658.580000006
observational astronomy,56637522.580000006
climate-neutral cities,56618158.39
federated analysis,56548187.01
knowledge creation,56499305.0
erdera,56317412.61
public-private collaboration,56317412.61
european rare diseases research alliance,56317412.61
patients empowerment,56317412.61
plastics,56287161.73
radars,56125051.0
fame,56064467.52
use cases,56049022.28
cell signaling,56046814.550000004
ontologies,55995388.70999999
liquid hydrogen,55993949.08
efficiency,55919020.51
diversity,55884715.480000004
impact assessment,55829709.65
users,55759723.75
paediatrics,55685423.77
structural health monitoring,55660198.86000001
volcanology,55610347.08000001
ssh,55465006.01
maas,55452249.75
collaboration,55401460.01
lithography,55393659.019999996
nanoparticles,55324592.42
freshwater ecosystems,55266666.81
copernicus,55202347.39000001
pilot line,55195991.13
biomethane,55165951.53
empowering,55000000.0
gn5-1,55000000.0
connecting,55000000.0
unified,55000000.0
system,54981909.010000005
sustainable aviation,54952844.33
treatment,54910293.56
culture,54847156.26
concentrated solar power,54831899.51
viticulture,54808840.27
electrolyser,54780837.17
ghg,54612590.029999994
lidar,54580636.910000004
space exploration,54520247.55
digital,54297654.86
globalization,54267461.81000001
evolution,54209888.49000001
digital health,54182240.68
nuclear physics,54176741.57000001
infrastructure,54136848.07
cardiac arrhythmia,54129797.19
renewable energy sources,54095120.49
polyhydroxyalkanoates,54054523.94
predictive maintenance,54029267.01
fp2 - r2dato,53904131.53
europe’s rail flagship project 2 - rail to digital automated up to autonomous train operation,53904131.53
,53741072.79000001
patient engagement,53732228.17
demography,53695411.510000005
algorithms,53627302.54
ancient history,53493804.430000015
melanoma,53314898.290000014
cost-effectiveness,53293196.39
silicon,53019445.309999995
cmos,52977901.260000005
home automation,52962870.69
decision support tool,52936234.25
sensing,52926308.94
green chemistry,52894845.50000001
inspire,52861576.5
preparedness,52723947.29
ageing,52674521.02
european partnership animal health and welfare,52673304.15
eupahw,52673304.15
zero-emission,52493963.52
acceleration,52488415.550000004
heat exchanger,52485954.15
drug repurposing,52414294.86
animal feed,52339355.83
fragmentation,52219138.0
nuclear energy,52003159.169999994
front desk,52000000.0
catalogue,52000000.0
eusst,52000000.0
re-entry,52000000.0
assets,52000000.0
tracking,52000000.0
telescopes,52000000.0
sst,52000000.0
data management,51933548.17
kidney diseases,51647826.44
statistics and probability,51534505.84000001
metabolism,51484979.64
food,51472629.89
optical networks,51240874.58
zoonosis,51075503.330000006
reverse osmosis,50934671.42
nuclear waste management,50911785.38
clinical medicine,50903600.67
sector coupling,50869763.3
drug development,50813016.88
participatory research,50811093.480000004
green transition,50734906.199999996
multi-vendor,50720449.35
enabling interoperability of multi-vendor hvdc grids,50720449.35
multi-terminal,50720449.35
wind farm,50720449.35
interopera,50720449.35
control and protection systems,50720449.35
empennage,50605000.0
fuselage,50605000.0
advisors,50578594.97
theoretical physics,50512176.089999996
perovskite,50496053.81999999
health care services,50357165.85
farmers,50356583.56
transcriptomics,50248268.82
cutting-edge technologies,50177119.03
research & innovation,50048085.75
e-commerce,49984091.63
permanent magnets,49924256.51
systems biology,49774941.239999995
microeconomics,49714438.72
protein,49670927.76
networking,49602079.46
air pollution,49577907.6
policy recommendations,49414515.89
groundwater,49380258.57
modeling,49294983.83
retrofitting,49288402.71000001
electronics,49244135.86000001
railroad engineering,49225672.410000004
cetology,48916751.309999995
surveillance,48890021.339999996
decision support system,48812050.18
lab on a chip,48809309.78
metabolic engineering,48798923.019999996
glioblastoma,48798008.49
mental health,48743608.57000001
conservation,48725155.56
criminology,48702685.63
brain,48688922.58
drought,48547672.25000001
steam injection,48501871.65
smr aircraft,48501871.65
water-enhanced turbofan,48501871.65
hybrid wet,48501871.65
electrified aircraft propulsion,48501871.65
sustainable water-injecting turbofan comprising hybrid-electrics,48501871.65
parallel hybrid,48501871.65
durability,48480080.88
exposure,48448397.97
control,48429383.24
awareness,48315509.9
risk factors,48312311.75
career development,48286151.25
diagnosis,48259813.81
wearable medical technology ,48131905.8
laboratory samples analysis,48049140.26
coordination,48005303.25
kic se bp2023- 2024,47991636.73
eit innoenergy business plan 2023 - 2024,47991636.73
strategic value chains,47991636.73
industrial projects,47991636.73
start-up support,47991636.73
trusted ecosystem,47991636.73
indoor air quality,47870062.89
cooperation,47773853.94
autoimmune diseases,47770089.52
bacteria,47703592.74999999
new european bauhaus,47683517.230000004
modal shift,47480849.379999995
innovation ecosystems,47424630.75
cement,47397104.760000005
condensed matter physics,47312484.20000001
inp,47279307.13
engagement,47086650.279999994
scale-up,47076540.21
transformative change,47005472.09
angstrom,46859931.81
heterogeneous,46859931.81
nano,46859931.81
moore's,46859931.81
steel,46744138.0
arctic,46661596.79999999
chemical recycling,46616607.800000004
plasma,46591122.13
societal impact,46564590.38
ethnology,46544640.580000006
optogenetics,46472346.620000005
medical device,46441896.85
quadruple helix,46413005.12
sars-cov-2,46405620.2
inequality,46404591.59
nlp,46375924.5
water,46357004.25
cloud computing,46293973.55
rri,46256316.13
digital services,46245756.03
advanced monitoring,46225689.31
holistic asset management,46225689.31
rail robotics,46225689.31
rail asset management,46225689.31
europe’s rail flagship project 3 - holistic and integrated asset management for europe’s rail system,46225689.31
intelligent assets,46225689.31
rail decision-making tools,46225689.31
rolling stock condition based maintenance,46225689.31
fp3 - iam4rail,46225689.31
bio-based,46213019.06
weee,46098226.86
polymers,46068225.57999999
quality,46055853.29
hpc,45817267.20999999
participation,45804143.3
invasive species,45781729.830000006
architectural design,45766004.57
drinking water treatment processes,45710003.529999994
pharmacology and pharmacy,45667222.830000006
polyester,45653822.69
digitisation,45500132.89
chemical sciences,45473877.57
urban mobility,45442908.13
digital platform,45415095.9
upcycling,45408423.51
mixed reality,45401731.129999995
edge processing,45395854.41
landscape ecology,45382953.57
recycle,45267521.720000006
decision support systems,45259516.51
risc-v,45199287.32
absorption spectroscopy,45138790.56000001
meteorology,45095258.38000001
smr acap,45049000.0
smr aircraft architecture and technology integration project,45049000.0
propulsion and systems hybridisation,45049000.0
hydrogen enabled smr,45049000.0
high aspect ratio wing,45049000.0
digital aircraft,45049000.0
disruptive propulsion architecture,45049000.0
sustainable industrialisation,45049000.0
ultra efficient smr aircraft,45049000.0
nature-based-solutions,44999646.25
ground segment,44994544.75
health literacy,44950059.5
science and technology,44949990.25
biochemistry,44795143.24000001
extracellular vesicles,44775773.75000001
arteriosclerosis,44745861.96
calcium looping,44658297.230000004
biochar,44641732.129999995
eeg,44610812.099999994
ict,44434538.89
hydrometallurgy,44396495.24
risk,44376393.1
bioproducts,44350680.37
pandemic,44195128.17
replicability,44189179.76
cap,44124217.74
heps,44103443.0
he-art,44103443.0
hybrid electric propulsion system for regional aircraft,44103443.0
turboprop,44103443.0
e-tp,44103443.0
advanced propeller,44103443.0
verification,44083326.75
screening,44022111.71
forest,44004777.839999996
trustworthiness,43919338.0
human health,43830605.78
amber,43777250.0
nexus,43750759.13
lh2,43719306.89
biodiversity monitoring,43703783.0
pneumology,43654941.11
stakeholders,43589640.56
microbiota,43548281.269999996
crispr,43527658.22
gene editing,43514999.62
knowledge graphs,43398650.15
behavioural psychology,43388010.85
