category,subcategory,subsubcategory,number of projects,% of all projects,"ecMax-Contribution","% of total ecMax-Contribution"
OPEN SOURCE,,,48,0.35,247317374.8,0.67
PHILOSOPHY,,,166,1.21,185410816.6,0.5
PHOTONICS,,,775,5.67,1848895795,5.02
PHYSICS,,,1735,12.69,3256009664,8.84
PRIVACY,,,71,0.52,304557818.6,0.83
PRODUCTIVITY,,,254,1.86,779806654.2,2.12
PUBLIC,,,1979,14.47,6558142574,17.81
QUANTUM,,,594,4.34,1295321048,3.52
RELIGION,,,158,1.16,158483422.5,0.43
REPAIRING,,,143,1.05,392477211.8,1.07
RESILIENCE,,,483,3.53,1991058146,5.41
ROBOTICS,,,321,2.35,1145612731,3.11
RURAL,,,66,0.48,245638490.1,0.67
SECURITY,,,1119,8.18,4715658320,12.81
SECURITY,CYBERSECURITY,,258,1.89,1047630739,2.85
SENSORS,,,1187,8.68,3420337030,9.29
SIGNAL PROCESSING,,,461,3.37,1078171143,2.93
SOCIAL,,,1039,7.6,2991614793,8.13
SOCIAL EQUITY,,,391,2.86,824675895.9,2.24
SOVEREIGNTY,,,64,0.47,381036612.8,1.03
SPACE,,,1098,8.03,2950903912,8.01
SURVEILLANCE,,,54,0.39,180361430.4,0.49
SUSTAINABILITY,,,2717,19.87,11953461322,32.46
TRANSPORTATION,,,873,6.38,3203590703,8.7
TRUST,,,197,1.44,995116638.7,2.7
URBAN,,,374,2.74,1600245381,4.35
USER,,,146,1.07,616613640,1.67
WASTE & POLLUTION,,,710,5.19,2481015300,6.74
